run_id,mode,order,validation_mode,cutoff_threshold,target_remainder_radius,segment_index,adaptive_attempt_index,t_lo,t_hi,attempt_index,h,h_try,h_min,h_max,candidate_segment_width_x,candidate_segment_width_y,candidate_segment_width_sum,candidate_final_width_x,candidate_final_width_y,candidate_final_width_sum,residual_width_x,residual_width_y,residual_width_sum,residual_lo_x,residual_hi_x,residual_lo_y,residual_hi_y,remainder_width_x,remainder_width_y,remainder_width_sum,target_remainder_width,target_remainder_width_sum,subset_result,rejection_reason,polynomial_range_width_x,polynomial_range_width_y,polynomial_range_width_sum,total_range_width_x,total_range_width_y,total_range_width_sum,finite_residual,validation_status,validation_message
flowstar_style_o6_target,flowstar_style,6,target_remainder,,0.0001,0,1,0,0.10000000000000001,1,0.10000000000000001,0.10000000000000001,0.002,0.10000000000000001,0.57785698835169275,0.69340270143411964,1.2712596897858124,0.29982315904773854,0.29662783349229743,0.59645099254003597,3.3792108392403801e-05,0.00062577391456465029,0.00065956602295705411,-1.8698891717823835e-05,1.5093216674579957e-05,-0.00030934253145088335,0.00031643138311376689,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,Picard residual not subset of target remainder,0.57765698835169232,0.69320270143411877,1.2708596897858111,0.57785698835169275,0.69340270143411964,1.2712596897858124,True,failed,Picard residual not subset of target remainder
flowstar_style_o6_target,flowstar_style,6,target_remainder,,0.0001,0,1,0,0.10000000000000001,2,0.10000000000000001,0.10000000000000001,0.002,0.10000000000000001,0.57785698835169275,0.69340270143411964,1.2712596897858124,0.29982315904773854,0.29662783349229743,0.59645099254003597,3.3792108392403801e-05,0.00062577391456465029,0.00065956602295705411,-1.8698891717823835e-05,1.5093216674579957e-05,-0.00030934253145088335,0.00031643138311376689,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,Picard residual not subset of target remainder,0.57765698835169232,0.69320270143411877,1.2708596897858111,0.57785698835169275,0.69340270143411964,1.2712596897858124,True,failed,Picard residual not subset of target remainder
flowstar_style_o6_target,flowstar_style,6,target_remainder,,0.0001,0,2,0,0.050000000000000003,1,0.050000000000000003,0.050000000000000003,0.002,0.10000000000000001,0.43165730339525804,0.3670141633604978,0.79867146675575584,0.30259771553657605,0.20409864312453288,0.50669635866110896,1.0428563096107707e-05,0.00011115972261265608,0.00012158828570876379,-5.2525419151394307e-06,5.176021180968275e-06,-5.6233767459981527e-05,5.4925955152674537e-05,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,True,,0.43145730339525762,0.36681416336049649,0.79827146675575411,0.43165730339525804,0.3670141633604978,0.79867146675575584,True,validated,
flowstar_style_o6_target,flowstar_style,6,target_remainder,,0.0001,1,1,0.050000000000000003,0.125,1,0.075000000000000011,0.075000000000000011,0.002,0.10000000000000001,0.50447249987869525,0.70060216655798591,1.2050746664366812,0.31171191212659327,0.34661293054867076,0.65832484267526403,1.9463053057688041e-05,0.00029167734473136211,0.00031114039778905013,-1.0187797151765378e-05,9.2752559059226615e-06,-0.00014464498666075449,0.00014703235807060757,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,Picard residual not subset of target remainder,0.50427249987869482,0.70040216655798504,1.2046746664366799,0.50447249987869525,0.70060216655798591,1.2050746664366812,True,failed,Picard residual not subset of target remainder
flowstar_style_o6_target,flowstar_style,6,target_remainder,,0.0001,1,1,0.050000000000000003,0.125,2,0.075000000000000011,0.075000000000000011,0.002,0.10000000000000001,0.50447249987869525,0.70060216655798591,1.2050746664366812,0.31171191212659327,0.34661293054867076,0.65832484267526403,1.9463053057688041e-05,0.00029167734473136211,0.00031114039778905013,-1.0187797151765378e-05,9.2752559059226615e-06,-0.00014464498666075449,0.00014703235807060757,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,Picard residual not subset of target remainder,0.50427249987869482,0.70040216655798504,1.2046746664366799,0.50447249987869525,0.70060216655798591,1.2050746664366812,True,failed,Picard residual not subset of target remainder
flowstar_style_o6_target,flowstar_style,6,target_remainder,,0.0001,1,2,0.050000000000000003,0.087500000000000008,1,0.037500000000000006,0.037500000000000006,0.002,0.10000000000000001,0.39890223519714368,0.43564176527977777,0.83454400047692145,0.30870566177420505,0.28020438957916022,0.58891005135336527,7.6972339314655438e-06,8.1904563231406888e-05,8.9601797162872427e-05,-3.8580865027824788e-06,3.8391474286830625e-06,-4.1116544322008911e-05,4.078801890939797e-05,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,True,,0.39870223519714326,0.4354417652797769,0.83414400047692017,0.39890223519714368,0.43564176527977777,0.83454400047692145,True,validated,
flowstar_style_o6_target,flowstar_style,6,target_remainder,,0.0001,2,1,0.087500000000000008,0.14375000000000002,1,0.056250000000000008,0.056250000000000008,0.002,0.10000000000000001,0.45435828480385704,0.67761971408679911,1.1319779988906562,0.32079248432163393,0.38444230614974956,0.70523479047138349,1.2697045248363405e-05,0.00016441654033828138,0.00017711358558664478,-6.4536886192986376e-06,6.2433566290647653e-06,-8.211515488027463e-05,8.2301385458006724e-05,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,True,,0.45415828480385662,0.67741971408679824,1.1315779988906549,0.45435828480385704,0.67761971408679911,1.1319779988906562,True,validated,
flowstar_style_o6_target,flowstar_style,6,target_remainder,,0.0001,3,1,0.14375000000000002,0.22812500000000002,1,0.084375000000000006,0.084375000000000006,0.002,0.10000000000000001,0.54062090352494929,1.0803964304789542,1.6210173340039034,0.34446431203683209,0.5066386088714917,0.85110292090832385,2.9705735619579585e-05,0.0006104511351380091,0.00064015687075758866,-1.5716665758177604e-05,1.3989069861401978e-05,-0.00029606044434093385,0.00031439069079707509,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,Picard residual not subset of target remainder,0.54042090352494887,1.0801964304789533,1.6206173340039021,0.54062090352494929,1.0803964304789542,1.6210173340039034,True,failed,Picard residual not subset of target remainder
flowstar_style_o6_target,flowstar_style,6,target_remainder,,0.0001,3,1,0.14375000000000002,0.22812500000000002,2,0.084375000000000006,0.084375000000000006,0.002,0.10000000000000001,0.54062090352494929,1.0803964304789542,1.6210173340039034,0.34446431203683209,0.5066386088714917,0.85110292090832385,2.9705735619579585e-05,0.0006104511351380091,0.00064015687075758866,-1.5716665758177604e-05,1.3989069861401978e-05,-0.00029606044434093385,0.00031439069079707509,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,False,Picard residual not subset of target remainder,0.54042090352494887,1.0801964304789533,1.6206173340039021,0.54062090352494929,1.0803964304789542,1.6210173340039034,True,failed,Picard residual not subset of target remainder
flowstar_style_o6_target,flowstar_style,6,target_remainder,,0.0001,3,2,0.14375000000000002,0.18593750000000003,1,0.042187500000000003,0.042187500000000003,0.002,0.10000000000000001,0.42340819528943002,0.70980056407283743,1.1332087593622675,0.33479949529955261,0.45573995683597263,0.79053945213552523,9.0646981936494357e-06,0.00010878126242170435,0.00011784596061535379,-4.5537974097220657e-06,4.5109007839273675e-06,-5.4390350196325896e-05,5.4390912225378446e-05,0.00020000000000000004,0.00020000000000000004,0.00040000000000000007,0.00040000000000000007,0.00040000000000000007,True,,0.4232081952894296,0.70960056407283656,1.1328087593622662,0.42340819528943002,0.70980056407283743,1.1332087593622675,True,validated,
