variant_group,run_id,validation_mode,target_remainder_radius,cutoff_threshold,status,last_validated_t,runtime_s,num_accepted_steps,num_rejected_steps,num_order8_steps,candidate_order,output_order,truncation_range_split,center_corrections_applied,selective_high_degree_terms_top_k,max_selective_retained_terms_count,min_regular_h_used,h_below_flowstar_min_count,final_width_sum,last_width_ratio,tube_width_ratio,notes,center_corrected_dimensions,max_center_correction_abs,max_selective_dropped_remainder_width_sum
adaptive_order_fallback,flowstar_style_o6_target_adaptive_order_8,target_remainder,0.0001,,failed,2.2771582567640953,472.12907700892538,185,114,44,6,6,,,,,0.0020171156691308999,0,24.885887268519369,80.930899048992146,4.9151377009180992,Picard residual not subset of target remainder,,,
adaptive_order_fallback,flowstar_style_o6_target_cutoff_adaptive_order_8,target_remainder,0.0001,1e-10,failed,2.2771582567640953,466.73563062492758,185,114,44,6,6,,,,,0.0020171156691308999,0,24.885887268519369,80.930899048992146,4.9151377009180992,Picard residual not subset of target remainder,,,
candidate_order_output_order,flowstar_style_o6_candidate8_output6,target_remainder,0.0001,,failed,2.4007376673997931,485.91970288474113,95,60,0,8,6,,,,,0.0021450425182496136,0,26.101315330027461,68.368230360584846,4.8355287651994372,Picard residual not subset of target remainder,,,
candidate_order_output_order,flowstar_style_o6_candidate8_output6_cutoff,target_remainder,0.0001,1e-10,failed,2.4007376673997931,465.39711408875883,95,60,0,8,6,,,,,0.0021450425182496136,0,26.10131533002729,68.368230360584391,4.8355287651994052,Picard residual not subset of target remainder,,,
candidate_order_truncation_split,flowstar_style_o6_candidate8_output6_truncsplit2,target_remainder,0.0001,,failed,2.397165587736743,1093.3742557130754,92,58,0,8,6,2,,,,0.0022597978793082348,0,24.973613525525622,65.414395437961886,4.6266107683365485,Picard residual not subset of target remainder,,,
h5_current_best,flowstar_style_o6_target,target_remainder,0.0001,,failed,2.1095541733932355,221.48196132015437,127,80,,6,6,,,,,0.0022645215665453703,0,9.0341200395994434,30.050027407228164,1.9627712588202828,Picard residual not subset of target remainder,,,
h5_current_best,flowstar_style_o6_target_cutoff,target_remainder,0.0001,1e-10,failed,2.1095541733932355,225.00878843106329,127,80,,6,6,,,,,0.0022645215665453703,0,9.0341200395994434,30.050027407228164,1.9627712588202828,Picard residual not subset of target remainder,,,
residual_centering,flowstar_style_o6_candidate8_output6_centered,target_remainder_centered,0.0001,,failed,2.4007376673997931,433.47428750712425,95,60,0,8,6,,3,,,0.0021450425182496136,0,26.101315330027461,68.368230360584846,4.8355287651994372,Picard residual not subset of target remainder,3,5.2348197893151242e-06,
residual_centering,flowstar_style_o6_candidate8_output6_cutoff_centered,target_remainder_centered,0.0001,1e-10,failed,2.4007376673997931,442.24062339216471,95,60,0,8,6,,3,,,0.0021450425182496136,0,26.10131533002729,68.368230360584391,4.8355287651994052,Picard residual not subset of target remainder,3,5.2348197893150157e-06,
residual_centering,flowstar_style_o6_target_centered,target_remainder_centered,0.0001,,failed,2.1159710308044115,208.13779039401561,127,80,0,6,6,,6,,,0.0022645215665453703,0,9.274857078704553,30.850786594767612,2.0007043188924944,Picard residual not subset of target remainder,6,4.9170930624816038e-06,
selective_high_degree_terms,flowstar_style_o6_candidate8_output6_keep1,target_remainder,0.0001,,failed,2.4007376673997931,459.95023195724934,95,60,0,8,6,,0,1,2,0.0021450425182496136,0,26.101315330027461,68.368230360584846,4.8355287651994372,Picard residual not subset of target remainder,0,,0.00054686467700602393
selective_high_degree_terms,flowstar_style_o6_candidate8_output6_keep2,target_remainder,0.0001,,failed,2.4007376673997931,460.31188289355487,95,60,0,8,6,,0,2,4,0.0021450425182496136,0,26.101315330027461,68.368230360584846,4.8355287651994372,Picard residual not subset of target remainder,0,,0.00042168507927339713
selective_high_degree_terms,flowstar_style_o6_candidate8_output6_keep4,target_remainder,0.0001,,failed,2.4007376673997931,460.16786826495081,95,60,0,8,6,,0,4,8,0.0021450425182496136,0,26.101315330027461,68.368230360584846,4.8355287651994372,Picard residual not subset of target remainder,0,,0.00027326659566923966
selective_high_degree_terms,flowstar_style_o6_candidate8_output6_keep8,target_remainder,0.0001,,failed,2.4007376673997931,459.55931204557419,95,60,0,8,6,,0,8,16,0.0021450425182496136,0,26.101315330027461,68.368230360584846,4.8355287651994372,Picard residual not subset of target remainder,0,,8.3546359146267375e-05
selective_terms_centered,flowstar_style_o6_candidate8_output6_keep1_centered,target_remainder_centered,0.0001,,failed,2.4007376673997931,435.10251819994301,95,60,0,8,6,,3,1,2,0.0021450425182496136,0,26.101315330027461,68.368230360584846,4.8355287651994372,Picard residual not subset of target remainder,3,5.2348197893151242e-06,0.00054686467700602393
selective_terms_centered,flowstar_style_o6_candidate8_output6_keep2_centered,target_remainder_centered,0.0001,,failed,2.4007376673997931,433.97707378212363,95,60,0,8,6,,3,2,4,0.0021450425182496136,0,26.101315330027461,68.368230360584846,4.8355287651994372,Picard residual not subset of target remainder,3,5.2348197893151242e-06,0.00042168507927339713
selective_terms_centered,flowstar_style_o6_candidate8_output6_keep4_centered,target_remainder_centered,0.0001,,failed,2.4007376673997931,434.86731733568013,95,60,0,8,6,,3,4,8,0.0021450425182496136,0,26.101315330027461,68.368230360584846,4.8355287651994372,Picard residual not subset of target remainder,3,5.2348197893151242e-06,0.00027326659566923966
